#,Job_ID,Reserved,v1: Lighting Electricity [kWh],s1: Electricity [kWh],s1: normalized,t1: Heating [kWh],t2: Cooling [kWh]
0,LHS-000406,,18600.192,87743.2905,0.0,160199.6225032886,6494.3109655135
0,LHS-000695,,102868.272,218716.57799999998,0.3957219266666666,79544.13061604362,59798.5980067775
0,LHS-000407,,52436.592,122459.958,0.07486652666666667,101920.85379785862,41087.583156241104
0,LHS-000696,,86057.712,156081.07799999998,0.1869369266666666,3326.5917117875283,86114.65695914612
0,LHS-000408,,102868.272,195804.10799999998,0.3193470266666666,64281.68308968084,55866.12295915695
0,LHS-000697,,101576.59199999999,148100.643,0.1603354766666667,80589.42445573222,28942.272642594442
0,LHS-000409,,51790.75199999999,133193.808,0.11064602666666663,64699.18775810361,49917.04151872472
0,LHS-000698,,84981.31199999999,199362.5055,0.3312083516666667,76143.734691535,59080.08638392111
0,LHS-000274,,86057.712,156081.07799999998,0.1869369266666666,11975.93119604814,47364.00353156444
0,LHS-000414,,18534.672000000002,102285.10800000001,0.007617026666666691,112903.51751702612,13266.928270663278
0,LHS-000273,,68386.03199999999,127170.0405,0.09056680166666668,94366.57528586556,15306.891465794582
0,LHS-000413,,101576.59199999999,160360.6005,0.20120200166666666,31114.608195326946,90331.54876831446
0,LHS-000276,,68386.03199999999,127170.0405,0.09056680166666668,68784.79208204862,19855.195914451917
0,LHS-000416,,86057.712,133168.608,0.11056202666666669,50333.78299248806,32141.532914280557
0,LHS-000275,,18534.672000000002,61563.168000000005,0.0,94154.44211009168,10662.157302686222
0,LHS-000415,,48411.791999999994,91440.288,0.0,135204.3529988275,14539.797720237528
0,LHS-000270,,84981.31199999999,131505.363,0.1050178766666667,4567.136586540028,93529.06234317918
0,LHS-000410,,101576.59199999999,205598.69549999997,0.3519956516666666,50068.23071658389,43220.401983565556
0,LHS-000272,,48411.791999999994,91440.288,0.0,33223.362944558336,33954.16413814056
0,LHS-000412,,35626.032,128561.868,0.09520622666666667,134761.98357287055,14398.843047475028
0,LHS-000271,,101576.59199999999,193338.73799999998,0.3111291266666666,9301.651755984443,106162.76030397834
0,LHS-000411,,35195.472,81719.523,0.0,135844.1189353889,5211.668323513083
0,LHS-000818,,84981.31199999999,199362.5055,0.3312083516666667,87384.48541072695,62406.82641320527
0,LHS-000817,,35195.472,93979.4805,0.0,64070.90180722695,34787.33241265722
0,LHS-000819,,33473.232,76501.728,0.0,127878.50073181638,17827.166933505057
0,LHS-000814,,84981.31199999999,143765.3205,0.14588440166666666,80057.79338578305,22021.181081363113
0,LHS-000278,,102868.272,195804.10799999998,0.3193470266666666,141702.1597446453,18076.76448647853
0,LHS-000813,,84981.31199999999,143765.3205,0.14588440166666666,58985.92224570445,28693.785285861944
0,LHS-000277,,93227.472,115894.998,0.05298332666666669,32625.639803705,59221.438796956674
0,LHS-000816,,35195.472,104338.5705,0.014461901666666672,145564.25548449418,8598.978047700306
0,LHS-000815,,84981.31199999999,121146.273,0.07048757666666668,54036.965817341115,26670.398746602168
0,LHS-000279,,18815.472,65926.368,0.0,121729.712437975,7111.863245998251
0,LHS-000811,,101576.59199999999,160360.6005,0.20120200166666666,9480.218969909056,154948.60838393695
0,LHS-000008,,35195.472,139217.5755,0.13072525166666668,27820.188660891945,30363.844156429444
0,LHS-000812,,18600.192,77384.2005,0.0,137304.63709271527,28704.57780821694
0,LHS-000009,,78288.912,141678.378,0.13892792666666665,57475.62133103639,90099.27761852945
0,LHS-000006,,51790.75199999999,155812.85549999998,0.1860428516666666,3510.423350639139,179340.62323056915
0,LHS-000810,,68386.03199999999,160148.17799999999,0.20049392666666663,31983.844662492775,85519.31712621693
0,LHS-000007,,101576.59199999999,137741.553,0.1258051766666667,11092.078786143862,54391.30825747833
0,LHS-000004,,68386.03199999999,172408.13549999997,0.2413604516666666,23151.304346963832,79004.42449211417
0,LHS-000005,,86057.712,156081.07799999998,0.1869369266666666,105580.87593674721,33454.257597973614
0,LHS-000002,,51790.75199999999,98314.803,0.0,151114.4322159975,24127.10998008911
0,LHS-000003,,35195.472,81719.523,0.0,133063.0514662203,9921.746361160138
0,LHS-000000,,86057.712,178993.54799999998,0.2633118266666666,26413.857920855862,73213.37739833722
0,LHS-000001,,18815.472,111751.308,0.039171026666666685,19720.230009174247,125084.46535720499
0,LHS-000419,,52436.592,145372.428,0.1512414266666667,150460.34184786695,20541.299992948443
0,LHS-000417,,68386.03199999999,104550.993,0.015169976666666673,58449.134720586386,49814.948057231944
0,LHS-000418,,78288.912,100956.43800000001,0.0031881266666666974,70036.0491062125,11518.853341334112
0,LHS-000287,,48411.791999999994,132162.228,0.10720742666666667,57579.00682206223,51700.41094639722
0,LHS-000427,,86057.712,201906.01799999998,0.3396867266666666,56361.20895906194,45362.89136442639
0,LHS-000286,,86057.712,133168.608,0.11056202666666669,101319.23159021944,20038.03611586508
0,LHS-000426,,18815.472,65926.368,0.0,77908.44846155778,23332.40532709497
0,LHS-000285,,101576.59199999999,182979.648,0.27659882666666663,19494.802658969194,132814.34276046834
0,LHS-000425,,78288.912,141678.378,0.13892792666666665,45831.769408658336,48849.18191930861
0,LHS-000284,,69247.152,139270.518,0.1309017266666667,91588.37196585334,24601.77485230225
0,LHS-000424,,35195.472,104338.5705,0.014461901666666672,229655.39496642,11871.142339372276
0,LHS-000283,,68386.03199999999,160148.17799999999,0.20049392666666663,115703.74637453111,20620.42070004875
0,LHS-000423,,101576.59199999999,160360.6005,0.20120200166666666,84761.9105498489,80369.32256054973
0,LHS-000282,,84981.31199999999,121146.273,0.07048757666666668,23885.057772947333,97136.47829586556
