#,Job_ID,WeatherFile, ModelFile, @@building_fabrics@@, @@orientation@@, @@glazing_ratio@@, @@glazing_coating@@, @@overhang@@, @@infiltration_rate@@, @@fresh_air@@, @@lighting_density@@, @@equipment_open@@, @@occupancy_open@@,Message, Warnings, Errors, Hours, Minutes, Seconds,c0: InteriorLights:Electricity [J](RunPeriod),c1: InteriorEquipment:Electricity [J](RunPeriod),c2: Heating:DistrictHeating [J](RunPeriod),c3: Cooling:DistrictCooling [J](RunPeriod)
311,LHS-000311,GBR_London.Gatwick.037760_IWEC.epw, Type1_OD.imf, BF5,90,50, Reflective, Overhang,0.7,0.015,12,10,6,EnergyPlus Completed Successfully,2,0,0,0,11.44,1.89E+11,1.70E+11,4.79E+11,4.98E+10
312,LHS-000312,GBR_London.Gatwick.037760_IWEC.epw, Type2_CS.imf, BF1,45,25, Reflective, none,0.3,0.015,4,15,9,EnergyPlus Completed Successfully,2,0,0,0,11.31,6.67E+10,1.55E+11,6.32E+11,1.46E+10
313,LHS-000313,GBR_London.Gatwick.037760_IWEC.epw, Type1_OD.imf, BF4,315,25, Reflective, Overhang,0.7,0.005,4,25,15,EnergyPlus Completed Successfully,2,0,0,0,12.02,6.77E+10,4.17E+11,1.20E+11,9.82E+10
314,LHS-000314,GBR_London.Gatwick.037760_IWEC.epw, Type4_CDO.imf, BF2,225,50, Reflective, none,0.5,0.01,12,15,9,EnergyPlus Completed Successfully,2,0,0,0,18.07,1.86E+11,2.12E+11,2.87E+11,7.19E+10
315,LHS-000315,GBR_London.Gatwick.037760_IWEC.epw, Type2_CS.imf, BF3,45,50, Reflective, none,0.3,0.005,24,25,15,EnergyPlus Completed Successfully,2,0,0,0,17.86,3.36E+11,3.02E+11,6.85E+10,2.53E+11
316,LHS-000316,GBR_London.Gatwick.037760_IWEC.epw, Type4_CDO.imf, BF4,315,50, Reflective, Overhang,0.3,0.02,4,20,15,EnergyPlus Completed Successfully,2,0,0,0,22.43,6.70E+10,2.93E+11,2.02E+11,8.16E+10
317,LHS-000317,GBR_London.Gatwick.037760_IWEC.epw, Type1_OD.imf, BF2,270,50, Reflective, none,0.9,0.02,4,10,15,EnergyPlus Completed Successfully,2,0,0,0,13.47,6.77E+10,1.70E+11,5.71E+11,2.41E+10
318,LHS-000318,GBR_London.Gatwick.037760_IWEC.epw, Type1_OD.imf, BF3,180,50, Non_reflective, Overhang,0.5,0.005,20,15,6,EnergyPlus Completed Successfully,2,0,0,0,10.09,3.10E+11,2.52E+11,1.25E+11,2.30E+11
319,LHS-000319,GBR_London.Gatwick.037760_IWEC.epw, Type1_OD.imf, BF2,0,25, Reflective, none,0.7,0.015,4,25,12,EnergyPlus Completed Successfully,2,0,0,0,10.12,6.77E+10,4.17E+11,3.28E+11,5.61E+10
320,LHS-000320,GBR_London.Gatwick.037760_IWEC.epw, Type2_CS.imf, BF1,225,25, Non_reflective, Overhang,0.7,0.01,12,10,6,EnergyPlus Completed Successfully,2,0,0,0,14.7,1.74E+11,8.16E+10,6.84E+11,1.68E+10
321,LHS-000321,GBR_London.Gatwick.037760_IWEC.epw, Type1_OD.imf, BF1,270,25, Non_reflective, Overhang,0.9,0.02,12,20,12,EnergyPlus Completed Successfully,2,0,0,0,10.88,1.89E+11,3.35E+11,6.74E+11,3.67E+10
322,LHS-000322,GBR_London.Gatwick.037760_IWEC.epw, Type4_CDO.imf, BF2,90,25, Non_reflective, none,0.1,0.01,16,15,15,EnergyPlus Completed Successfully,2,0,0,0,15.67,2.46E+11,2.12E+11,7.68E+10,1.47E+11
323,LHS-000323,GBR_London.Gatwick.037760_IWEC.epw, Type4_CDO.imf, BF3,45,25, Non_reflective, Overhang,0.3,0.015,24,15,15,EnergyPlus Completed Successfully,2,0,0,0,15.95,3.66E+11,2.12E+11,9.56E+10,1.59E+11
324,LHS-000324,GBR_London.Gatwick.037760_IWEC.epw, Type3_OA.imf, BF2,270,50, Non_reflective, none,0.3,0.02,4,10,12,EnergyPlus Completed Successfully,2,0,0,0,12.29,6.70E+10,1.67E+11,3.70E+11,7.66E+10
325,LHS-000325,GBR_London.Gatwick.037760_IWEC.epw, Type4_CDO.imf, BF4,270,50, Non_reflective, none,0.5,0.02,4,25,12,EnergyPlus Completed Successfully,2,0,0,0,22.18,6.70E+10,3.74E+11,2.06E+11,1.91E+11
326,LHS-000326,GBR_London.Gatwick.037760_IWEC.epw, Type3_OA.imf, BF4,135,75, Reflective, none,0.3,0.01,4,10,6,EnergyPlus Completed Successfully,2,0,0,0,9,6.70E+10,1.67E+11,2.86E+11,9.86E+10
327,LHS-000327,GBR_London.Gatwick.037760_IWEC.epw, Type2_CS.imf, BF5,135,75, Reflective, Overhang,0.9,0.005,20,25,12,EnergyPlus Completed Successfully,2,0,0,0,14.38,2.82E+11,3.02E+11,1.52E+11,1.92E+11
328,LHS-000328,GBR_London.Gatwick.037760_IWEC.epw, Type2_CS.imf, BF5,180,50, Reflective, none,0.7,0.005,8,20,6,EnergyPlus Completed Successfully,2,0,0,0,11.96,1.21E+11,2.28E+11,1.92E+11,1.08E+11
329,LHS-000329,GBR_London.Gatwick.037760_IWEC.epw, Type2_CS.imf, BF4,225,75, Non_reflective, none,0.3,0.005,4,15,9,EnergyPlus Completed Successfully,2,0,0,0,16.83,6.67E+10,1.55E+11,1.09E+11,3.24E+11
330,LHS-000330,GBR_London.Gatwick.037760_IWEC.epw, Type2_CS.imf, BF2,90,50, Non_reflective, none,0.5,0.005,12,20,6,EnergyPlus Completed Successfully,2,0,0,0,14.58,1.74E+11,2.28E+11,1.87E+11,1.63E+11
331,LHS-000331,GBR_London.Gatwick.037760_IWEC.epw, Type4_CDO.imf, BF4,90,25, Non_reflective, none,0.1,0.02,24,20,12,EnergyPlus Completed Successfully,2,0,0,0,15.13,3.66E+11,2.93E+11,5.18E+10,2.67E+11
332,LHS-000332,GBR_London.Gatwick.037760_IWEC.epw, Type1_OD.imf, BF5,135,25, Non_reflective, none,0.1,0.01,24,20,9,EnergyPlus Completed Successfully,2,0,0,0,14.12,3.70E+11,3.35E+11,1.53E+10,4.03E+11
333,LHS-000333,GBR_London.Gatwick.037760_IWEC.epw, Type3_OA.imf, BF3,0,25, Reflective, none,0.7,0.005,16,20,6,EnergyPlus Completed Successfully,2,0,0,0,11.09,2.46E+11,3.30E+11,1.53E+11,1.30E+11
334,LHS-000334,GBR_London.Gatwick.037760_IWEC.epw, Type4_CDO.imf, BF5,90,75, Reflective, Overhang,0.5,0.01,12,15,9,EnergyPlus Completed Successfully,2,0,0,0,16.77,1.86E+11,2.12E+11,1.84E+11,1.33E+11
335,LHS-000335,GBR_London.Gatwick.037760_IWEC.epw, Type1_OD.imf, BF4,270,25, Non_reflective, Overhang,0.9,0.01,24,15,6,EnergyPlus Completed Successfully,2,0,0,0,11.62,3.70E+11,2.52E+11,2.55E+11,1.08E+11
336,LHS-000336,GBR_London.Gatwick.037760_IWEC.epw, Type4_CDO.imf, BF5,45,50, Reflective, none,0.3,0.005,20,15,9,EnergyPlus Completed Successfully,2,0,0,0,21.66,3.06E+11,2.12E+11,4.48E+10,2.54E+11
337,LHS-000337,GBR_London.Gatwick.037760_IWEC.epw, Type2_CS.imf, BF1,135,50, Reflective, Overhang,0.7,0.015,16,15,12,EnergyPlus Completed Successfully,2,0,0,0,17.8,2.28E+11,1.55E+11,6.64E+11,3.13E+10
338,LHS-000338,GBR_London.Gatwick.037760_IWEC.epw, Type1_OD.imf, BF1,135,75, Non_reflective, Overhang,0.1,0.015,12,25,15,EnergyPlus Completed Successfully,2,0,0,0,14.09,1.89E+11,4.17E+11,3.21E+11,1.78E+11
339,LHS-000339,GBR_London.Gatwick.037760_IWEC.epw, Type2_CS.imf, BF2,270,25, Non_reflective, none,0.1,0.005,12,20,6,EnergyPlus Completed Successfully,2,0,0,0,15.46,1.74E+11,2.28E+11,8.40E+10,1.46E+11
340,LHS-000340,GBR_London.Gatwick.037760_IWEC.epw, Type3_OA.imf, BF2,315,25, Non_reflective, Overhang,0.7,0.01,16,15,9,EnergyPlus Completed Successfully,2,0,0,0,12.14,2.46E+11,2.49E+11,2.66E+11,6.83E+10
341,LHS-000341,GBR_London.Gatwick.037760_IWEC.epw, Type1_OD.imf, BF2,225,25, Reflective, none,0.5,0.005,8,20,15,EnergyPlus Completed Successfully,2,0,0,0,11.66,1.28E+11,3.35E+11,1.46E+11,8.36E+10
342,LHS-000342,GBR_London.Gatwick.037760_IWEC.epw, Type2_CS.imf, BF1,315,50, Reflective, none,0.1,0.01,4,20,12,EnergyPlus Completed Successfully,2,0,0,0,11.8,6.67E+10,2.28E+11,4.55E+11,5.12E+10
