#, Job_ID, Date/Time, EMS:Bedroom Zones Overheating While Occupied [](RunPeriod), EMS:Living Zones Overheating While Occupied [](RunPeriod), EMS:Bedroom Zones Overheating Severity While Occupied [](RunPeriod), EMS:Living Zones Overheating Severity While Occupied [](RunPeriod), EMS:Bedroom Zones Thermal Comfort CEN 15251 Adaptive Model Category I Status [](RunPeriod), EMS:Bedroom Zones Thermal Comfort CEN 15251 Adaptive Model Category I Status Severity [](RunPeriod), EMS:Bedroom Zones Thermal Comfort CEN 15251 Adaptive Model Category II Status [](RunPeriod), EMS:Bedroom Zones Thermal Comfort CEN 15251 Adaptive Model Category II Status Severity [](RunPeriod), EMS:Bedroom Zones Thermal Comfort CEN 15251 Adaptive Model Category III Status [](RunPeriod), EMS:Bedroom Zones Thermal Comfort CEN 15251 Adaptive Model Category III Status Severity [](RunPeriod), EMS:Living Zones Thermal Comfort CEN 15251 Adaptive Model Category I Status [](RunPeriod), EMS:Living Zones Thermal Comfort CEN 15251 Adaptive Model Category I Status Severity [](RunPeriod), EMS:Living Zones Thermal Comfort CEN 15251 Adaptive Model Category II Status [](RunPeriod), EMS:Living Zones Thermal Comfort CEN 15251 Adaptive Model Category II Status Severity [](RunPeriod), EMS:Living Zones Thermal Comfort CEN 15251 Adaptive Model Category III Status [](RunPeriod), EMS:Living Zones Thermal Comfort CEN 15251 Adaptive Model Category III Status Severity [](RunPeriod)
35, LHS-000035, simdays=365, 24.3333333333333, 54.3333333333333, 27.6430299181405, 74.4422503350595, 2.5, 1.16126116310282, 0.166666666666667, 1.571061040526978E-002, 0.0, 0.0, 91.5, 74.5193317240675, 27.1666666666667, 19.5674139484847, 6.66666666666667, 3.9849762202278 
36, LHS-000036, simdays=365, 31.3333333333333, 42., 35.751101066335, 46.6866525397601, 4.83333333333333, 2.99161886961146, 1., 0.256521364562038, 0.0, 0.0, 55., 43.596062265101, 18.8333333333333, 9.0210531747805, 2.83333333333333, 0.26230501521333 
37, LHS-000037, simdays=365, 29.6666666666667, 105., 34.2290139900065, 136.025170650674, 2.83333333333333, 1.36623277008381, 0.0, 0.0, 0.0, 0.0, 169., 185.999419763033, 77.8333333333333, 65.8559336509927, 25., 18.9730922432883 
38, LHS-000038, simdays=365, 49.6666666666667, 125.666666666667, 65.7332664740837, 190.063602557991, 11.8333333333333, 11.3231562954799, 4.5, 3.68010778872575, 1.66666666666667, 0.784399401759566, 208., 213.853244722217, 82.6666666666666, 71.8901597692584, 28.5, 20.6498623124329 
39, LHS-000039, simdays=365, 140., 290.833333333333, 227.264946911414, 600.580533714775, 57., 72.9447895792926, 28.6666666666667, 31.7797004914518, 13., 12.228366609399, 407.666666666667, 854.562525809954, 293., 501.579272377506, 187.833333333333, 263.138255641281 
40, LHS-000040, simdays=365, 502.833333333333, 683., 1671.38523199639, 3862.89486117738, 374.333333333333, 1092.10182517312, 277.833333333333, 767.321207592289, 203.333333333333, 528.183352880765, 798.5, 4753.80920620723, 737.5, 3986.17447124984, 675.166666666667, 3275.41412050824 
41, LHS-000041, simdays=365, 154.666666666667, 529.833333333333, 350.218637822189, 1078.5061705646, 97.3333333333333, 180.58853162594, 61.6666666666667, 102.645549636012, 36.5, 54.8627017854949, 743.166666666667, 1516.39167604607, 527.166666666667, 883.78518727634, 342.5, 449.583670168924 
42, LHS-000042, simdays=365, 105.666666666667, 295.5, 138.422820498715, 423.526168465249, 24.1666666666667, 18.9298478903402, 6.83333333333333, 5.14975605797107, 2.33333333333333, 0.870722677976701, 436.333333333333, 555.118983365613, 220.666666666667, 238.515545734095, 97., 82.7635947035459 
43, LHS-000043, simdays=365, 756.666666666667, 551.166666666667, 1814.75769134605, 1527.90735398534, 566.166666666666, 861.819572055123, 338.666666666667, 411.817432742336, 167.5, 167.710821400989, 786.666666666667, 2152.95240074868, 628.333333333333, 1447.13362153006, 472.166666666667, 897.683166439287 
44, LHS-000044, simdays=365, 12.8333333333333, 63.6666666666667, 15.5126167430661, 79.7845484436525, 1.33333333333333, 0.350989602938356, 0.0, 0.0, 0.0, 0.0, 78., 66.7110790684602, 26., 19.005160552127, 7.5, 3.7516264569074 
45, LHS-000045, simdays=365, 14.1666666666667, 35.1666666666667, 14.8338282134047, 39.9402436060973, 0.5, 0.162595183391743, 0.0, 0.0, 0.0, 0.0, 43.5, 28.6138885528651, 9.83333333333333, 5.05503203521212, 1.83333333333333, 0.175899866850741 
46, LHS-000046, simdays=365, 43.6666666666667, 235., 44.9737489353064, 318.035563480607, 5.33333333333333, 2.88143992860444, 0.833333333333333, 0.179980119994087, 0.0, 0.0, 389., 432.895038937844, 177.666666666667, 158.232122425207, 66.3333333333333, 45.1012418612007 
47, LHS-000047, simdays=365, 54.3333333333333, 174.833333333333, 78.5604851477884, 279.918660378911, 19., 18.8865043316912, 7.66666666666667, 6.9081844643282, 3., 2.08040372447577, 250.5, 400.458676156774, 160.833333333333, 195.420124324329, 83., 76.4896044136302 
48, LHS-000048, simdays=365, 97.3333333333333, 278., 132.703631810691, 603.379583559319, 31.1666666666667, 30.5078107131554, 12.3333333333333, 10.5244074485212, 3.83333333333333, 3.08672263873535, 403.666666666667, 863.623264148, 284., 523.068923704369, 195., 285.90537492734 
49, LHS-000049, simdays=365, 1147.66666666667, 751.333333333333, 4368.94115290921, 2610.6105866698, 1122.5, 3275.92136516067, 916.666666666666, 2260.69179990297, 711.833333333333, 1446.49357470304, 928.666666666666, 3594.57958556043, 840.666666666667, 2709.9254646164, 708.666666666667, 1933.30116398324 
